Verein;Status;Spieler;Punkte;RoteKarte;GelbRoteKarte;Vorlagen;Tore;SpielerDesSpiels
FC Bayern München;Start;Neuer;6;0;0;0;0;0
FC Bayern München;Start;Laimer;6;0;0;0;0;0
FC Bayern München;Start;Upamecano;13;0;0;0;1;0
FC Bayern München;Start;M.-J. Kim;8;0;0;0;0;0
FC Bayern München;Start;Davies;6;0;0;0;0;0
FC Bayern München;Start;Kimmich;10;0;0;0;0;0
FC Bayern München;Start;Pavlovic;13;0;0;0;1;0
FC Bayern München;Start;Olise;18;0;0;0;1;1
FC Bayern München;Start;Brown;4;0;0;0;0;0
FC Bayern München;Start;Luis Diaz;9;0;0;0;1;0
FC Bayern München;Start;Kane;6;0;0;0;0;0
FC Bayern München;Bank;Saibari;8;0;0;0;0;0
FC Bayern München;Bank;Stanisic;2;0;0;0;0;0
FC Bayern München;Bank;Tah;2;0;0;0;0;0
FC Bayern München;Bank;Bischof;2;0;0;0;0;0
FC Bayern München;Bank;Karl;2;0;0;0;0;0
FC Bayern München;Teampunkte;;115;;;;;
VfB Stuttgart;Start;Bredlow;8;0;0;0;0;0
VfB Stuttgart;Start;Jeltsch;2;0;0;0;0;0
VfB Stuttgart;Start;Chabot;2;0;0;0;0;0
VfB Stuttgart;Start;Hendriks;-2;0;0;0;0;0
VfB Stuttgart;Start;Vagnoman;5;0;0;0;1;0
VfB Stuttgart;Start;Prömel;2;0;0;0;0;0
VfB Stuttgart;Start;Stiller;0;0;0;0;0;0
VfB Stuttgart;Start;Mittelstädt;2;0;0;0;0;0
VfB Stuttgart;Start;Tiago Tomas;2;0;0;0;0;0
VfB Stuttgart;Start;Undav;-2;0;0;0;0;0
VfB Stuttgart;Start;Pejcinovic;0;0;0;0;0;0
VfB Stuttgart;Teampunkte;;19;;;;;
SV Elversberg;Start;Kristof;6;0;0;0;0;0
SV Elversberg;Start;Gyamerah;8;0;0;0;0;0
SV Elversberg;Start;Pinckert;4;0;0;0;0;0
SV Elversberg;Start;Rohr;6;0;0;0;0;0
SV Elversberg;Start;La. Günther;2;0;0;0;0;0
SV Elversberg;Start;Keidel;4;0;0;0;0;0
SV Elversberg;Start;Poreba;4;0;0;0;0;0
SV Elversberg;Start;L. Petkov;15;0;0;0;1;0
SV Elversberg;Start;Onyeka;4;0;0;0;0;0
SV Elversberg;Start;Campbell;11;0;0;0;1;0
SV Elversberg;Start;Mokwa;11;0;0;0;1;0
SV Elversberg;Bank;Darvich;0;0;0;0;0;0
SV Elversberg;Bank;Krattenmacher;-2;0;0;0;0;0
SV Elversberg;Bank;Schnellbacher;2;0;0;0;0;0
SV Elversberg;Bank;Sirch;2;0;0;0;0;0
SV Elversberg;Bank;Le Joncour;2;0;0;0;0;0
SV Elversberg;Teampunkte;;79;;;;;
Bayer 04 Leverkusen;Start;Flekken;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Vazquez;-4;0;0;0;0;0
Bayer 04 Leverkusen;Start;Badé;-2;0;0;0;0;0
Bayer 04 Leverkusen;Start;Tapsoba;-6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Miguel;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;E. Fernandez;0;0;0;0;0;0
Bayer 04 Leverkusen;Start;Aleix Garcia;0;0;0;0;0;0
Bayer 04 Leverkusen;Start;Maza;6;0;0;0;0;0
Bayer 04 Leverkusen;Start;Tillman;-2;0;0;0;0;0
Bayer 04 Leverkusen;Start;Moreira;0;0;0;0;0;0
Bayer 04 Leverkusen;Start;Schick;5;0;0;0;1;0
Bayer 04 Leverkusen;Teampunkte;;9;;;;;
RB Leipzig;Start;Vandevoordt;10;0;0;0;0;0
RB Leipzig;Start;R. Baku;11;0;0;0;1;0
RB Leipzig;Start;Orban;6;0;0;0;0;0
RB Leipzig;Start;Lukeba;6;0;0;0;0;0
