Verein;Status;Spieler;Punkte;RoteKarte;GelbRoteKarte;Vorlagen;Tore;SpielerDesSpiels
FC Bayern München;Start;Neuer;12;0;0;0;0;0
FC Bayern München;Start;Stanisic;8;0;0;0;0;0
FC Bayern München;Start;Upamecano;8;0;0;0;0;0
FC Bayern München;Start;Tah;10;0;0;0;0;0
FC Bayern München;Start;Davies;14;0;0;2;0;0
FC Bayern München;Start;Kimmich;10;0;0;0;0;0
FC Bayern München;Start;Pavlovic;10;0;0;0;0;0
FC Bayern München;Start;Olise;30;0;0;2;3;1
FC Bayern München;Start;Musiala;16;0;0;1;1;0
FC Bayern München;Start;Luis Diaz;4;0;0;0;0;0
FC Bayern München;Start;Kane;16;0;0;0;2;0
FC Bayern München;Bank;M.-J. Kim;6;0;0;0;0;0
FC Bayern München;Bank;Saibari;11;0;0;0;1;0
FC Bayern München;Bank;Bischof;12;0;0;2;0;0
FC Bayern München;Bank;Gnabry;2;0;0;0;0;0
FC Bayern München;Bank;Brown;2;0;0;0;0;0
FC Bayern München;Teampunkte;;171;;;;;
1. FC Union Berlin;Start;Rönnow;0;0;0;0;0;0
1. FC Union Berlin;Start;Trimmel;-2;0;0;0;0;0
1. FC Union Berlin;Start;Querfeld;-6;0;0;0;0;0
1. FC Union Berlin;Start;Uduokhai;-4;0;0;0;0;0
1. FC Union Berlin;Start;Rothe;-6;0;0;0;0;0
1. FC Union Berlin;Start;Haberer;-6;0;0;0;0;0
1. FC Union Berlin;Start;R. Khedira;-4;0;0;0;0;0
1. FC Union Berlin;Start;Aebischer;-4;0;0;0;0;0
1. FC Union Berlin;Start;Jeong;-2;0;0;0;0;0
1. FC Union Berlin;Start;Schäfer;-4;0;0;0;0;0
1. FC Union Berlin;Start;Latte Lath;-4;0;0;0;0;0
1. FC Union Berlin;Teampunkte;;-42;;;;;
Eintracht Frankfurt;Start;Atubolu;4;0;0;0;0;0
Eintracht Frankfurt;Start;Baum;-2;0;0;0;0;0
Eintracht Frankfurt;Start;R. Koch;2;0;0;1;0;0
Eintracht Frankfurt;Start;Brassier;6;0;0;0;0;0
Eintracht Frankfurt;Start;Kosugi;4;0;0;0;0;0
Eintracht Frankfurt;Start;Onyedika;2;0;0;0;0;0
Eintracht Frankfurt;Start;Aseko;0;0;0;0;0;0
Eintracht Frankfurt;Start;Doan;8;0;0;1;0;0
Eintracht Frankfurt;Start;Uzun;4;0;0;0;0;0
Eintracht Frankfurt;Start;Ebnoutalib;9;0;0;0;1;0
Eintracht Frankfurt;Start;Burkardt;13;0;0;0;1;0
Eintracht Frankfurt;Bank;O. Höjlund;-4;0;0;0;0;0
Eintracht Frankfurt;Bank;Collins;4;0;0;0;0;0
Eintracht Frankfurt;Bank;Knauff;4;0;0;0;0;0
Eintracht Frankfurt;Bank;M. Götze;2;0;0;0;0;0
Eintracht Frankfurt;Bank;Amaimouni-Echghouyab;2;0;0;0;0;0
Eintracht Frankfurt;Teampunkte;;58;;;;;
SC Freiburg;Start;Backhaus;6;0;0;0;0;0
SC Freiburg;Start;Treu;6;0;0;0;0;0
SC Freiburg;Start;Ginter;8;0;0;0;0;0
SC Freiburg;Start;Lienhart;6;0;0;0;0;0
