ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;2800000;128;3.18
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;500000;15;1.5
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3000000;208;3.07
pl-k00039284;Ron-Robert;Zieler;Zieler;Ron-Robert Zieler;1. FC Köln;GOALKEEPER;800000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;500000;0;0.0
pl-k00043520;Janis;Blaswich;Blaswich;Janis Blaswich;Bayer 04 Leverkusen;GOALKEEPER;1000000;73;3.0
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;1800000;32;4.0
pl-k00044560;Edin;Dzeko;Dzeko;Edin Dzeko;FC Schalke 04;FORWARD;1800000;0;0.0
pl-k00045037;Frank;Lehmann;Lehmann;Frank Lehmann;SV Elversberg;GOALKEEPER;500000;0;0.0
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;500000;2;0.0
pl-k00051437;Loris;Karius;Karius;Loris Karius;FC Schalke 04;GOALKEEPER;2800000;0;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;Bor. Mönchengladbach;GOALKEEPER;1000000;150;2.88
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;2000000;135;3.6
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;2400000;160;3.48
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;MIDFIELDER;2000000;0;0.0
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;DEFENDER;2000000;67;3.06
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;0;0.0
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1800000;114;3.44
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;MIDFIELDER;4200000;276;2.95
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1600000;64;3.69
pl-k00063586;Alexander;Schwolow;Schwolow;Alexander Schwolow;1. FSV Mainz 05;GOALKEEPER;800000;0;0.0
pl-k00063777;Lukas;Kübler;Kübler;Lukas Kübler;SC Freiburg;DEFENDER;1800000;96;3.52
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;FC Augsburg;FORWARD;1800000;81;3.54
pl-k00064802;Kevin;Müller;Ke. Müller;Kevin Müller;FC Schalke 04;GOALKEEPER;800000;0;0.0
pl-k00065090;Anthony;Jung;A. Jung;Anthony Jung;SC Freiburg;DEFENDER;1200000;20;4.0
pl-k00065896;Robin;Zentner;Zentner;Robin Zentner;1. FSV Mainz 05;GOALKEEPER;2800000;50;3.1
pl-k00066530;Niclas;Füllkrug;Füllkrug;Niclas Füllkrug;Werder Bremen;FORWARD;2700000;0;0.0
pl-k00066753;Serge;Gnabry;Gnabry;Serge Gnabry;Bayern München;FORWARD;4200000;171;2.9
pl-k00067047;Marius;Funk;M. Funk;Marius Funk;VfB Stuttgart;GOALKEEPER;500000;0;0.0
pl-k00067144;Patrick;Drewes;Drewes;Patrick Drewes;Borussia Dortmund;GOALKEEPER;500000;0;0.0
